,Company Name,Director Name,Company Address,Factory Address,Phone Number,Fax Number,Email Address,Website,Products
10, A. N. Accessories Industries [ Membership: 1198 ]   Member Status : Active ," Mr. Mohammed Alamgir,  Proprietor","Company Address : Nayahat, Baktapur, Ward # 3, Oxizen Quish Link Road, Panchlish, Chattogram ","Factory Address : Nayahat, Baktapur, Ward # 3, Oxizen Quish Link Road, Panchlish, Chattogram ","Phone : 031-2584187, 2584860, 01713-124713, 01819-386989 ",Fax : ,"Email : anaccessories70@yahoo.com, anaccessories70@gmail.com ",Website :  ,"Products : Elastic,/Non Elastic, Lace, Sewing Thread. "
11, A. R. Printing & Pacakging Inds. Ltd. [ Membership: 1019 ]   Member Status : Active ," Mr. Md. Golam Rasul,  Managing Director","Company Address : Anis Complex, Raj Fulbaria Bus Stand,  Fulbaria, Tetuzora, Savar, Dhaka ","Factory Address : Anis Complex, Raj Fulbaria Bus Stand,  Fulbaria, Tetuzora, Savar, Dhaka ","Phone : 01712564007, 01912564007 ",Fax : ,Email : arpandltd@gmail.com ,Website : www.arpackagingltd.com ,Products : Corrugated Carton. 
12, A. Rashid Sikder Ind. Limited [ Membership: 1223 ]   Member Status : Active ," Mr. Md. Shahidul Haque,  Managing Director","Company Address : 210, 212, Deshipara, Gazipur Sadar, Gazipur ","Factory Address : 210, 212, Deshipara, Gazipur Sadar, Gazipur ","Phone : 8399858, 01613015258, 1624398385 ",Fax : ,Email : s.haque1967@yahoo.com ,Website :  ,"Products : Carton, Poly Bag,Ggum Tape. "
13, A. R. Elastic Industries [ Membership: 460 ]   Member Status : Active ," Mr. Md. Salam Mia,  Managing Partner","Company Address : 281, Pagar, Fakir Market, Tongi, Gazipur. ","Factory Address : 281, Pagar, Fakir Market, Tongi, Gazipur. ","Phone : 8150154,8151912 ",Fax : 9143772 ,Email : ridoy@dhaka.net ,Website :  ,"Products : Woven tape, Elastic, Non elastic Tape, Drawstring/Drawcord, Sewing Thread. "
14, A. S. Packaging [ Membership: 1140 ]   Member Status : Active ," Mr. Md. Didarul Islam,  Proprietor","Company Address : Block # B, Plot # C-11, Shaoloshor, BSCIC I/A Nasirabad, Chattogram. ","Factory Address : Block # B, Plot # C-11, Shaoloshor, BSCIC I/A Nasirabad, Chattogram. ","Phone : 031-2581018, 01819321171 ",Fax : ,Email : aspack31@yahoo.com ,Website :  ,"Products : Corrugated Cartom, Back Board, Neck Board, Collar Bone, Bar Code, Hang Tag, Size Tag, Price Tag, Tissue Paper, Waxing Box. "
15, A-1 International [ Membership: 756 ]   Member Status : Cancel ," Mr. Md. Rashedul Islam,  Proprietor","Company Address : Plot # 111, Eidgha Kacha Rastha,  Double Mooring, Chattogram ","Factory Address : Plot # 111, Eidgha Kacha Rastha,  Double Mooring, Chattogram ",Phone : 031-2513119 ,Fax : 031-2513118 ,Email : ,Website :  ,"Products : Printed Poly Bag, Back Board, Neck Board, Hang Tag, Price Tag, Size Tag, Phot in lay, Tissue Paper, Drawstring. "
16, AAA Accessories Corporation [ Membership: 897 ]   Member Status : Active ," Mr. Nezam Uddin,  Partner ","Company Address : 3452/A, Golden Beach Road, Chorpara, South Patenga, Chattogram ","Factory Address : 3452/A, Golden Beach Road, Chorpara, South Patenga, Chattogram ","Phone : 031-2502349, 2501820, 01715107094 ",Fax : ,"Email : shanimapoly@gmail.com, aaaaccessories3@gmail.com ",Website : www.shanimagroup.com ,"Products : Gum Tape, Scotch Tape, Back Board, Neck Board, Paper Band, Hang Tag, Price Tag, Bar Code, Size Tag, Plastic Hanger, Poly bag, Drawstring, Twill Tape, Draw Cord "
17, ABA Packaging Ltd. [ Membership: 692 ]   Member Status : Active ," Mrs. Shamima Rahman,  Director","Company Address : Nichintapur, Zerabo, Savar, Dhaka. ","Factory Address : Nichintapur, Zerabo, Savar, Dhaka. ","Phone : 7790619, 7790620, 01713125868, 01715-219754 ",Fax : 7701750 ,Email : ,Website :  ,"Products : Corrugated Carton, Back Board, Neck Board, Tissue Paper. "
18, Accessories Mart [ Membership: 800 ]   Member Status : Cancel ," Mr. Md. Abdul Mannan,  Proprietor",Company Address : ,Factory Address : ,"Phone : 031-626607, 2853312, 01814-395334 ",Fax : 031-2853310 ,Email : farhadgoni36@hotmail.com ,Website :  ,"Products : Printed Poly Bag, Hanger, Back Board, Neck Board, Hang Tag, Price Tag, Photo Card/Board, Photo in lay, Tissue Paper. "
19, Accessories Private Ltd. [ Membership: 327 ]   Member Status : Active ," Mr. Ehsan Elahi,  Managing Director","Company Address : 1/1, A.C. Ray Road, Armanitola, Dhaka. ","Factory Address : 1/1, A.C. Ray Road, Armanitola, Dhaka. ","Phone : 57316572, 57314924 Cell : 01711525064 ",Fax : ,Email : sohel.quadir@yahoo.com ,Website :  ,Products : Printed Poly Bag. 
20, Accurate Packaging Ind. Ltd. [ Membership: 479 ]   Member Status : Cancel ," Mr. Md. Yousuf Hossain,  Managing Director","Company Address : 49, Motijheel Commercial Area (7th Floor) Room # 804, Dhaka ","Factory Address : 49, Motijheel Commercial Area (7th Floor) Room # 804, Dhaka ",Phone : 7170852 ,Fax : 7170852 ,Email : rayhan_accuratepackagingbd@hotmail.com ,Website :  ,"Products : Corrugated Carton, BOPP Bag, Gum Tape, Hanger,  Back Board, Neck Board, Tissue Paper, Hang Tag, Phoro Card, Paper Band. "
21, Achieve Accessories Ltd. [ Membership: 805 ]   Member Status : Cancel ," Mr. N. I. Khan,  Managing Director",Company Address : ,Factory Address : ,"Phone : 9345404, 9331068 ",Fax : 8358667 ,Email : achieve_ltd@yahoo.com ,Website :  ,"Products : Master Carton, Inner Carton, Back Board, Neck Board, Photo Card, Hang Tag, Price Tag, Size Tag, Bar Code, Country Tag, Sticker, Tissue Paper, Poly Bag, Hanger, Collar Insert, Butterfly, Label. "
22, Faiza Button & Zipper Ltd. [ Membership: 229 ]   Member Status : Active ," Mr. Md. Jahangir Kabir,  Proprietor","Company Address : Munno Nagar, 219/1, Pagar, Tongi, Gazipur ","Factory Address : Munno Nagar, 219/1, Pagar, Tongi, Gazipur ","Phone : 9000450, 01711561198 ",Fax : 9014215 ,"Email : md@fizbd.com, info@fizbd.com ",Website :  ,"Products : Zipper, Button "
23, Active Industries Ltd. [ Membership: 519 ]   Member Status : Cancel ," Mr. Jahangir Kabir,  Managing Director",Company Address : ,Factory Address : ,Phone : 9010789 ,Fax : ,Email : active@activezipper.net ,Website :  ,Products : 100% Spun Polyester Sewing Thread. 
24, Active Poly Industries Ltd. [ Membership: 867 ]   Member Status : Active ," Mr. Alamgir Kabir,  Managing Director","Company Address : Kumkumary, Amtala, Ashulia, Savar, Dhaka ","Factory Address : Kumkumary, Amtala, Ashulia, Savar, Dhaka ","Phone : 01713-031647, 01713 399434, 01927 328016 ",Fax : ,Email : kabiractivepoly@gmail.com ,Website :  ,Products : Printed Poly Bag 
25, Active Zipper Ltd. [ Membership: 605 ]   Member Status : Active ," Mr. Md. Jahangir Kabir,  Managing Director","Company Address : 219/1, Pagar, Munnu Nagar, Tongi, Gazipur ","Factory Address : 219/1, Pagar, Munnu Nagar, Tongi, Gazipur ",Phone : 9000450 ,Fax : 9010798 ,Email : activegp@activezipper.net ,Website :  ,"Products : Nylon Zipper, Plastic Zipper, Metal Zipper. "
26, Adhesion Products (Pvt.) Ltd. [ Membership: 432 ]   Member Status : Active ," Mr. T. K. Chakraborty,  Managing Director","Company Address : Plot # 30 (S) 31, 32, (S) BSCIC Estate (Ext.) Kalurghat Ind. Area, Chattogram. ","Factory Address : Plot # 30 (S) 31, 32, (S) BSCIC Estate (Ext.) Kalurghat Ind. Area, Chattogram. ","Phone : 031-638283, 623313, 01716146991, 01819324134 ",Fax : 031-2851292 ,Email : adhesiongroup@gmail.com ,Website : www.adhesion-bd.com ,"Products : Water Base Acrylic Resin, Chemical (Deem exporter) "
27, Advance Flexopack Industries [ Membership: 416 ]   Member Status : Active ," Mr. Md. Anwar Hossain,  Proprietor","Company Address : Shiarchar, Fatullah, Narayangonj. ","Factory Address : Shiarchar, Fatullah, Narayangonj. ",Phone : 01711537851 ,Fax : 9009302 ,Email : info@advancegroupbd.com ,Website :  ,"Products : Poly Bag, Bopp Bag, Plaric Hanger. "
28, Advanced Carton Industry [ Membership: 945 ]   Member Status : Cancel ," Mr. Abu Hanif Bhuiyan,  Proprietor",Company Address : ,Factory Address : ,"Phone : 01824569569, 01711149327 ",Fax : ,Email : ,Website :  ,"Products : Corrugated Carton, Back board, Neck Board, Collar Bone, Bar Code, Hang Tag, Size Tag, Tissue Paper, Printed Label. "
29, Affan Interlinings Ltd. [ Membership: 685 ]   Member Status : Active ," Mr. Md. Nazrul Islam,  Managing Director","Company Address : Block # A, Plot # B-12, BSCIC I/A Sagarica Road, Chattogram ","Factory Address : Block # A, Plot # B-12, BSCIC I/A Sagarica Road, Chattogram ","Phone : 031-2773196-97, 01711725817 ",Fax : 031-2773199 ,"Email : affan@colbd.com, affan.islamctg@gmail.com ",Website :  ,Products : Interlining 
30, Agami Accessories Ltd. [ Membership: 1083 ]   Member Status : Active ," Mr. M. Shahadat Hossain Kiron,  Chairman","Company Address : Singair Road, Hemayetpur, Savar, Dhaka. ","Factory Address : Singair Road, Hemayetpur, Savar, Dhaka. ",Phone : 09666774400 ,Fax : ,"Email : dal@dalbd.com, info@dalbd.com ",Website : www.dekkolrgacy.com ,"Products : Label, Poly Bag, PP Band, Carton, Hanger, Poly Hooks, Stopper, Metal Buttons "
31, Agrani Elastic Ind. Ltd. [ Membership: 1044 ]   Member Status : Active ," Mr. Md. Mofiz Ullah,  Managing Director","Company Address : 5208, Gheredhara, Kadamtali, Dhaka-1362 ","Factory Address : 5208, Gheredhara, Kadamtali, Dhaka-1362 ",Phone : 7544870 ,Fax : 01819-147767 ,Email : agranielastic@gmail.com ,Website :  ,"Products : Elastic/Non-Elastic Band, Twill Tape. "
32, Agrani Packaging & Paper Converting Ltd. [ Membership: 167 ]   Member Status : Cancel ," Mr.Md.Delowar Hossain Chowdhury,  Managing Director",Company Address : ,Factory Address : ,"Phone : 8316816, 9336232 ",Fax : 880-2-8312241 ,Email : agranigroup@gmail.com ,Website :  ,"Products : Corrugated Carton, Back Board, Neck Board, Tissue Paper. "
33, Ahmed House Hold Products (PVT) Ltd. [ Membership: 890 ]   Member Status : Active ," Md. Saydul Hasan Sarker,  Managing Director","Company Address : Plot# 1/6, Road# 7, Section# 7, Mirpur industrial Area, Dhaka ","Factory Address : Plot# 1/6, Road# 7, Section# 7, Mirpur industrial Area, Dhaka ","Phone : 9004671, 01711520978  ",Fax : 8015011 ,Email : sarker000@yahoo.com ,Website :  ,Products : All types of Label making & printing 
34, AKB Accessories [ Membership: 654 ]   Member Status : Active ," Mr. Al-Haj Akter Kamal Chowdhury,  Managing Partner","Company Address : S-57/58, BSCIC Industrial Estate, Kalurghat, Chattogram ","Factory Address : S-57/58, BSCIC Industrial Estate, Kalurghat, Chattogram ","Phone : 031-621872, 636471 ",Fax : ,Email : sufalbd@yahoo.com ,Website :  ,"Products : Elastic, Non Elastic. "
35, AKH Packaging & Accessories Ltd. [ Membership: 528 ]   Member Status : Active ," Md. Firoz Uddin Hawlader,  Director","Company Address : Horindhara, Tannery Road, Hemayetpur, Savar, Dhaka. ","Factory Address : Horindhara, Tannery Road, Hemayetpur, Savar, Dhaka. ","Phone : 7744001, 01713043259 ",Fax : 7741831 ,"Email : firoz@akhfashions.com, shihab_akhp@akhfashions.com ",Website :  ,"Products : Corrugated Carton, Back Board, Neck Board, Tissue Paper, Hang Tag, Photo Card/Photo Board, Sewing Thread,Drawstring Printed Poly Bag. "
36, AKH Trims Ltd. [ Membership: 901 ]   Member Status : Active ," Md. Firoz Uddin Hawlader,  Director","Company Address : Harindhara, Tenary Rd., Hemayetpur, Savar, Dhaka ","Factory Address : Harindhara, Tenary Rd., Hemayetpur, Savar, Dhaka ","Phone : 7744001-8, 01713043259 ",Fax : 8155640 ,Email : firoz@akhfashions.com ,Website :  ,"Products : Corrugated Carton, Back Board, Neck Board, Tissue Paper, Sewing Thread, Poly Bag, Hanger. "
37, Alam Industries [ Membership: 954 ]   Member Status : Cancel ," Mr. Noor Alam,  Proprietor",Company Address : ,Factory Address : ,Phone : 01714106909 ,Fax : ,Email : babu@alamindustries.com ,Website :  ,Products :  
38, Alam Packaging [ Membership: 85 ]   Member Status : Cancel ," Mr. Nurul Alam,  Proprietor",Company Address : ,Factory Address : ,Phone : 880-2-9752618 ,Fax : 7646203 ,Email : info@msl-bd.com ,Website :  ,"Products : Corrugated Carton, Back Board, Neck Board, Tissue Paper, Hang Tag, Price Tag etc. "
39, Alam Thread & Accessories Ind. Ltd. [ Membership: 893 ]   Member Status : Active ," Md. Habib Ullah,  Managing Director","Company Address : 1494/A, Middle Rampur, Salam Mansion, Naya Bazar, Amin Contractor Road, Chattogram. ","Factory Address : 1494/A, Middle Rampur, Salam Mansion, Naya Bazar, Amin Contractor Road, Chattogram. ",Phone : 031-711957 ,Fax : ,Email : mhelastic@yahoo.com ,Website :  ,"Products : Sewing Thread, Elastic/Non Elastic Band, Gum, Tape. "
40, Alfa Industries Ltd. [ Membership: 549 ]   Member Status : Cancel ," Md. A. K. M. Fazlul Karim,  Managing Director",Company Address : ,Factory Address : ,Phone : 7176853 ,Fax : ,Email : ,Website :  ,"Products : Elastic Band, Non Elastic Band, Drawstring & Cord. "
41, Alfis Limited [ Membership: 242 ]   Member Status : Active ," Mr. Ahmed Kabir,  Managing Director","Company Address : China Shukhaniya, Vawal Rajabari, Sreepur, Gazipur. ","Factory Address : China Shukhaniya, Vawal Rajabari, Sreepur, Gazipur. ","Phone : 9353021-25, 01711344813 ",Fax : 8316309 ,Email : alfisltd@gmail.com ,Website :  ,"Products : Plain Elastic, Design Elastic, Woven Tape// Crochet tape, Back Board, Neck Board, Tissue Paper, Butterfly, Collar Insert. "
42, Alien Weaving Factory Ltd. [ Membership: 1102 ]   Member Status : Active ," Mr. Muhammad Sifur Rahman,  Managing Director","Company Address : 27, Kathaldia, Nishat nagor, Tongi, Gazipur. ","Factory Address : 27, Kathaldia, Nishat nagor, Tongi, Gazipur. ","Phone : 9816826, Cell: 01921204264, 01911801492 ",Fax : ,Email : alien@alienbd.net ,Website :  ,"Products : Various Twill Tape, Belt, Crochet Elastic. "
43, Alif Printing & Packaging [ Membership: 1095 ]   Member Status : Cancel ," Mr. Abu Zahid,  Proprietor",Company Address : ,Factory Address : ,"Phone : 9612745, 01817-099390 ",Fax : ,Email : abuzahid_city@yahoo.com ,Website :  ,Products : Corrugated Paper Carton 
44, Al-Muslim Accessories Ltd. [ Membership: 708 ]   Member Status : Active ," Mr. S. M. Amzad Hossain,  Managing Director","Company Address : Nishchintapur, Zirabo, Ashulia, Savar, Dhaka ","Factory Address : Nishchintapur, Zirabo, Ashulia, Savar, Dhaka ","Phone : 9336501, 937034, 01711566511 ",Fax : 8316920 ,"Email : amzad@almuslimgroup.net, management_dnd@almuslimgroup.net, mozammel@almuslimgroup.net ",Website :  ,"Products : Elastic, Twill Tape, Embroidery, Drawstring, Draw Cord, Back Board, Neck Board, Hang Tag, Price Tag, Photo Card/Board, Tissue Paper. "
45, Al-Muslim Garments Accessories Ltd. [ Membership: 1196 ]   Member Status : Active ," Mr. Md. Abdullah,  Managing Director","Company Address : 14, Gedda, Karnopara, Ulail, Savar, Dhaka ","Factory Address : 14, Gedda, Karnopara, Ulail, Savar, Dhaka ","Phone : 7743600, 7743599, 7743598,  7742873, 7742874, 7748792, 7746711, 7747439, 7742825 ",Fax : 7742824 ,Email : md@pacificbluejeans.com ,Website :  ,"Products : Label, Sticker, Grawstring, Draw-Cord, Carton box, Back Board, Neck Board, Tissue, Clip, Yarn Coaning. "
46, Al-Noor Printing & Accessories Ltd. [ Membership: 532 ]   Member Status : Active ," Mr. Md. Javed Masud,  Managing Director","Company Address : 389, Shimrail, Siddirgonj, Narayanganj ","Factory Address : 389, Shimrail, Siddirgonj, Narayanganj ",Phone : 7192295 ,Fax : 7193168 ,Email : ,Website :  ,"Products : Corrugated Carton, Back Board, Neck Board, Tissue Paper, Hang Tag, Photo Card, Fashion Board etc. "
47, Ama Zipper Co. Ltd. [ Membership: 802 ]   Member Status : Cancel ," Mr. Md. Narul Islam,  Managing Director","Company Address : House # 15, Road #04, Block #A,  Section#10, Mirpur Fakruuddin Security (2nd Floor), Dhaka ","Factory Address : House # 15, Road #04, Block #A,  Section#10, Mirpur Fakruuddin Security (2nd Floor), Dhaka ","Phone : 9010617, 01918-339106 ",Fax : 8059435 ,Email : amagroup92@yahoo.com ,Website :  ,"Products : Nylon Zipper, Vislon Zipper, Metal Zipper. "
48, Amar Thread & Packaging Ind. Ltd. [ Membership: 958 ]   Member Status : Cancel ,"  Mr. Ali Ahmed Razu,  Managing director",Company Address : ,Factory Address : ,Phone : 9298906 ,Fax : ,Email : atpil.ahmed@yahoo.com ,Website :  ,"Products : Inner Carton, Master Carton, Neck Board, Back Board, Sewing Thread. "
49, Amass Packaging & Accessories Ltd. [ Membership: 1064 ]   Member Status : Cancel ," Mr. Md. Mahabubul Alam,  Director",Company Address : ,Factory Address : ,"Phone : 9360328, 01713015497, 01711839845 ",Fax : ,Email : amasstd@yahoo.com ,Website :  ,"Products : Carton, PP Bag, LDPE Bag, Neck Board, Back Board, Paper Tubes. "
50, Ambia Packaging [ Membership: 817 ]   Member Status : Cancel ," Mr. Abul Quashem,  Proprietor",Company Address : ,Factory Address : ,Phone : 031-713084 ,Fax : 031-710361 ,Email : info@ambiagroup.com ,Website :  ,"Products : Corrugated Carton, Back Board, Neck Board, Tissue Paper. "
51, Amcaba Limited [ Membership: 1084 ]   Member Status : Active ," Mr. Mohammad Sheikh Faisal,  Director","Company Address : Abder, Telehati, Sreepur, Gazipur ","Factory Address : Abder, Telehati, Sreepur, Gazipur ","Phone : 8411854, 8417921-2 ",Fax : 8413779 ,"Email : info@dadagroup-bd.com, com_152@dadagroup-bd.com ",Website :  ,"Products : Chemical (DOP & Orhers, Dye Oxtail Thelat). "
52, Amin Associates [ Membership: 892 ]   Member Status : Cancel ,"  Md. Khaled Amin Rashed,  Proprietor",Company Address : ,Factory Address : ,"Phone : 8951250, 8957052, 8957053 ",Fax : ,"Email : amin_associates02@yahoo.com, sales@aminassociates.com ",Website :  ,"Products : Oriented Elastic, Twill Tag, Belt, Draw Cord, Drawstring, Printed Label. "
53, Amin Brothers Acc.Ltd. [ Membership: 1079 ]   Member Status : Active ," Mr. Md. Ruhul Amin Bhuiyan,  Managing Director","Company Address : Mouchak, Kaliakoir, Gazipur ","Factory Address : Mouchak, Kaliakoir, Gazipur ",Phone : 9567142 ,Fax : 9566910 ,Email : n_amin07@yahoo.com ,Website :  ,"Products : Carton, Poly Bag, Elastic, Drawstring, Tread Conning, PVC Tape, Gum Tape, Label Printing, Fabrics printing. "
54, Amorous Fashions Limited [ Membership: 234 ]   Member Status : Cancel ," Mr. Mossarraf Hossain Chowdhury,  Managing Director","Company Address : 58, East Hazipara DIT Road, Rampura, Dhaka-1219 ","Factory Address : 58, East Hazipara DIT Road, Rampura, Dhaka-1219 ","Phone : 9338172, 9349514 ",Fax : 9330918 ,Email : amorous_polymax@yahoo.com ,Website :  ,"Products : All Kinds of Elastic Band, Drawstring/ Draw Cord. "
55, Anchor Dyeing & Accessories Ltd. [ Membership: 384 ]   Member Status : Active ," Mr. Md. Abul Hossain,  Managing Director","Company Address : 93, Naya Ati, Painadi, Shiddhirganj, Narayanganj ","Factory Address : 93, Naya Ati, Painadi, Shiddhirganj, Narayanganj ","Phone : 9342725, 9352085 ",Fax : 9352335 ,Email : anchorabtex@gmail.com ,Website :  ,"Products : Polyester Sewing Thread, Elastic tape, Non Elastic Tape, Polyester Twill tape, Design Tape.  "
56, Anik Trims Ltd. [ Membership: 1074 ]   Member Status : Active ," Mr. S.M. Malek,  Managing Director","Company Address : Golora Charkhanda, Jagir, Manikgonj ","Factory Address : Golora Charkhanda, Jagir, Manikgonj ","Phone : 1733-040773, 01973040773 ",Fax : ,"Email : malek@anikgroupbd.com, ani_malek98@yahoo.com ",Website :  ,"Products : Corrugated Carton, Back Board, Neck Board, Photocard, Paraphine, Colar Stand, Butterfly, Barcode Label, Hangtag, Interlining, Tissue Paper. "
57, Anis Accessories & Packaging Ltd. [ Membership: 732 ]   Member Status : Active ," Mr. Md. Anisur Rahman Bhuyan,  Managing Director","Company Address : Zirabo, Ashulia, Savar, Dhaka ","Factory Address : Zirabo, Ashulia, Savar, Dhaka ","Phone : 9345108, 9330043, 01711522933 ",Fax : 8355240 ,"Email : anisltd@yahoo.com, anisltd@gmail.com ",Website :  ,"Products : Corrugated Carton, Back Board, Neck Board, Tissue Paper, Hang Tag, Price Tag, Size Tag, Photo in lay, Printed Poly Bag, Elastic/Non Elastic Band, Sewing Thread. "
58, Ankur Packaging & Accessories Ltd. [ Membership: 439 ]   Member Status : Active ," Mr. Aminul Islam Babul,  Managing Director","Company Address : 576, Digirchala (Mouza-Itahata), P.O.-Chandona - Chowrasta, P.S.-Gazipur Sadar, Dist.-Gazipur. ","Factory Address : 576, Digirchala (Mouza-Itahata), P.O.-Chandona - Chowrasta, P.S.-Gazipur Sadar, Dist.-Gazipur. ","Phone : 9256289, 01711594066 ",Fax : 9263010 ,Email : kp.ankur75@yahoo.com ,Website :  ,"Products : Corrugated Carton, Back Board, Neck Board, Tissue Paper, Hang Tag, Photo Card, Paper Band, Price Tag. "
59, Anmon Garments Accessories Ind. Ltd. [ Membership: 690 ]   Member Status : Cancel ," Mr. Kazi Showkat Zaman,  Managing Director","Company Address : 41/Uma, Hatkhola Road (2nd Floor), Tikatuli, Dhaka ","Factory Address : 41/Uma, Hatkhola Road (2nd Floor), Tikatuli, Dhaka ",Phone : 9569517 ,Fax : 7175869 ,Email : anmongroup@yahoo.com ,Website :  ,"Products : Printed Poly Bag, Back Board, Neck Board, Tissue Paper, Hang Tag, Bar Code, Size Tag, Price Tag, Paper Band, Sticker, Hanger. "
60, Anmon Packages (Pvt.) Ltd. [ Membership: 71 ]   Member Status : Cancel ," Mr. Kazi Shawkat Zaman,  Managing Director.","Company Address : Shimrail, Siddirgonj, Narayanganj ","Factory Address : Shimrail, Siddirgonj, Narayanganj ",Phone : 880-2-9569517 ,Fax : 9666706 ,Email : anmongroup@yahoo.com ,Website :  ,"Products : Corrugated Carton, Back Board, Neck Board, Tissue Paper, Hang Tag, Price Tag, encodecode, etc. "
61, ANS Poly & Accessories [ Membership: 841 ]   Member Status : Cancel ," Mr. Mohammad Nasiruddin,  Proprietor","Company Address : Chunkutia, Paschimpara, Shubadda Keraniganj, Dhaka ","Factory Address : Chunkutia, Paschimpara, Shubadda Keraniganj, Dhaka ",Phone : 7392071 ,Fax : 7390367 ,Email : ,Website :  ,Products : Garments Accessories 
62, Anura Accessories [ Membership: 712 ]   Member Status : Active ," Mrs. Noor-E-Zannat,  Managing Partner","Company Address : Farm Cottage, 2103, Al-Amin Baria, Chandgaon, Chattogram ","Factory Address : Farm Cottage, 2103, Al-Amin Baria, Chandgaon, Chattogram ","Phone : 031-670405, 01758244690 ",Fax : 031-670405 ,Email : anuraaccessories@yahoo.com ,Website :  ,"Products : Elastic/Non-Elastic Band, Twill Tape, Sewing Thread, Drawstring/Draw Cord. "
63, Anz Packaging [ Membership: 156 ]   Member Status : Cancel ," Mr. B. M. Monir Hossain,  Proprietor",Company Address : ,Factory Address : ,Phone : 88-031-713928 ,Fax : ,Email : anzpack@bttb.net.bd ,Website :  ,"Products : Corrugated Carton, Back Board, Neck Board, Tissue Paper. "
